Wavelength,Flux,BestFit,SkyFlux
3906.609,7.507,6.606,6.969
3907.510,5.023,6.544,7.531
3908.409,6.675,6.451,8.037
3909.308,5.005,6.513,8.687
3910.210,5.110,6.463,9.046
3911.109,7.689,6.444,9.180
3912.011,8.123,6.640,9.419
3912.911,5.249,6.785,10.439
3913.813,3.852,6.785,11.333
3914.714,7.544,6.910,10.637
3915.614,10.183,7.010,9.900
3916.517,4.172,6.865,8.731
3917.418,1.618,6.819,7.751
3918.322,5.501,6.723,7.129
3919.223,6.288,6.513,6.702
3920.127,8.350,6.454,6.214
3921.029,7.780,6.300,5.713
3921.931,5.066,6.104,5.210
3922.835,6.284,6.096,4.897
3923.737,9.126,6.190,4.847
3924.642,7.342,6.211,4.721
3925.545,7.907,6.123,4.556
3926.450,7.614,6.022,4.313
3927.354,7.981,6.012,4.223
3928.257,7.669,6.069,4.134
3929.163,3.845,6.172,4.092
3930.067,8.324,6.352,3.832
3930.973,10.790,6.570,3.493
3931.877,6.845,6.555,3.225
3932.784,5.976,6.816,3.262
3933.689,7.543,6.942,3.527
3934.594,10.665,6.962,3.678
3935.501,2.717,7.072,3.420
3936.406,9.848,7.228,3.034
3937.314,10.736,7.328,3.167
3938.220,6.496,7.387,3.786
3939.128,7.534,7.536,4.525
3940.034,7.997,7.614,5.149
3940.941,6.137,7.574,5.503
3941.849,11.046,7.599,5.745
3942.756,13.490,7.518,5.774
3943.665,6.295,7.460,5.478
3944.573,8.449,7.382,5.212
3945.482,0.978,7.231,5.502
3946.390,7.488,7.052,6.423
3947.298,12.954,6.971,6.299
3948.208,8.892,7.011,6.298
3949.116,6.496,6.933,6.434
3950.027,10.059,6.952,6.315
3950.936,9.265,6.966,5.704
3951.847,3.385,6.862,5.042
3952.756,3.098,6.747,4.830
3953.665,8.052,6.660,5.399
3954.577,5.941,6.907,6.213
3955.487,6.403,6.893,6.486
3956.399,7.667,6.810,6.130
3957.309,7.181,6.975,5.583
3958.221,9.053,7.144,5.311
3959.132,12.786,7.008,5.370
3960.045,10.187,6.952,5.404
3960.956,5.433,6.898,5.337
3961.867,8.232,6.765,5.038
3962.781,13.265,6.614,4.550
3963.692,10.419,6.587,4.154
3964.606,3.550,6.746,4.026
3965.518,5.602,6.913,4.041
3966.433,5.369,7.019,4.020
3967.345,1.831,7.125,3.844
3968.258,6.671,7.311,3.492
3969.173,4.504,7.546,3.269
3970.086,9.164,7.618,3.262
3971.002,-0.092,7.659,3.498
3971.915,8.595,7.747,3.754
3972.831,6.555,7.723,4.122
3973.745,5.437,7.504,4.649
3974.659,7.062,7.217,5.107
3975.576,7.770,6.920,5.481
3976.490,6.231,6.862,5.827
3977.407,5.252,6.850,6.242
3978.322,10.127,6.725,6.318
3979.240,3.488,6.660,6.304
3980.155,4.072,6.911,6.209
3981.071,7.820,7.014,6.477
3981.989,9.288,7.158,6.798
3982.905,7.236,7.344,6.714
3983.823,6.789,7.445,6.332
3984.740,9.261,7.455,5.938
3985.659,10.838,7.527,5.793
3986.576,11.273,7.667,5.661
3987.493,11.996,7.661,5.276
3988.412,6.988,7.436,5.384
3989.330,12.045,7.337,6.059
3990.250,8.151,7.324,6.387
3991.168,6.631,7.002,6.270
3992.088,8.319,7.070,5.978
3993.006,9.533,6.946,5.821
3993.925,9.500,6.822,5.914
3994.846,7.883,6.876,5.919
3995.765,5.762,6.953,5.773
3996.686,7.929,6.879,5.419
3997.606,9.795,7.133,5.300
3998.528,8.129,7.212,5.666
3999.447,4.259,7.351,6.267
4000.368,9.400,7.590,6.588
4001.290,11.580,7.719,6.545
4002.211,11.132,7.665,6.530
4003.133,10.408,7.855,6.696
4004.054,7.795,7.993,6.743
4004.978,8.575,7.998,6.425
4005.899,7.519,7.960,5.785
4006.821,9.901,7.962,5.387
4007.745,8.058,7.982,5.894
4008.666,10.544,7.913,6.864
4009.591,6.798,7.809,7.775
4010.513,6.389,7.827,8.026
4011.438,8.946,7.871,7.686
4012.361,9.481,7.744,7.332
4013.284,10.257,7.508,7.091
4014.209,8.411,7.690,6.950
4015.133,8.331,7.701,6.989
4016.059,5.999,7.575,7.089
4016.983,8.691,7.493,6.585
4017.909,6.972,7.510,6.307
4018.833,7.678,7.565,6.763
4019.758,9.803,7.647,7.347
4020.685,11.196,7.650,7.374
4021.610,10.671,7.763,7.415
4022.537,9.821,7.796,8.028
4023.462,13.595,7.655,8.478
4024.390,11.209,7.579,8.132
4025.316,9.813,7.469,7.572
4026.242,13.259,7.512,7.376
4027.171,7.703,7.477,7.251
4028.097,7.189,7.321,6.933
4029.026,7.395,7.151,6.752
4029.953,5.703,7.065,6.676
4030.882,3.969,7.122,6.526
4031.809,3.701,7.334,6.185
4032.739,10.322,7.322,6.009
4033.667,9.941,7.221,6.075
4034.595,7.057,7.231,6.185
4035.525,7.785,7.202,6.141
4036.453,8.566,7.052,6.249
4037.384,10.181,7.059,6.823
4038.313,7.201,7.097,7.521
4039.244,5.233,7.124,7.457
4040.173,8.433,7.243,6.993
4041.103,9.921,7.516,7.506
4042.035,9.382,7.702,8.718
4042.965,6.850,7.694,8.694
4043.897,8.482,7.635,8.423
4044.827,7.385,7.580,9.531
4045.760,5.288,7.587,11.578
4046.691,6.185,7.720,16.025
4047.622,5.684,7.781,20.877
4048.555,7.531,7.841,21.215
4049.486,9.577,7.885,16.497
4050.420,7.843,7.938,11.555
4051.352,11.724,7.972,9.365
4052.286,10.040,7.911,8.207
4053.218,5.997,7.880,7.425
4054.151,12.522,7.742,7.141
4055.086,12.924,7.484,7.368
4056.019,9.167,7.245,7.582
4056.954,8.474,7.061,7.560
4057.887,7.929,6.838,6.879
4058.823,8.533,6.741,6.223
4059.757,8.809,6.702,6.368
4060.691,2.032,6.820,7.300
4061.627,6.660,6.989,8.001
4062.561,8.733,7.136,7.545
4063.498,6.033,7.361,7.158
4064.433,10.262,7.563,7.454
4065.370,6.394,7.672,7.785
4066.305,7.783,7.809,7.901
4067.241,11.109,8.004,7.800
4068.179,7.875,8.087,7.878
4069.115,5.885,7.925,8.116
4070.053,9.272,7.964,8.188
4070.989,8.593,7.718,7.676
4071.928,5.941,7.362,7.048
4072.865,5.192,7.069,6.955
4073.802,6.560,6.814,7.021
4074.741,7.367,6.547,7.241
4075.679,5.536,6.575,7.725
4076.618,8.435,7.065,8.051
4077.556,10.171,7.877,8.577
4078.497,7.440,9.033,9.318
4079.435,11.172,10.371,9.717
4080.373,14.615,11.418,9.397
4081.314,16.810,12.122,8.692
4082.253,17.289,12.614,8.481
4083.194,16.043,12.568,8.435
4084.134,11.942,11.632,8.095
4085.076,8.709,10.023,7.654
4086.015,8.526,8.514,7.404
4086.955,9.120,7.322,7.453
4087.898,7.815,6.638,7.903
4088.838,5.692,6.219,8.019
4089.781,5.464,6.009,7.253
4090.722,7.104,5.985,6.686
4091.665,6.196,6.037,6.572
4092.606,10.272,6.318,6.384
4093.548,5.316,6.539,6.234
4094.492,5.198,6.882,6.132
4095.434,8.546,7.201,6.057
4096.378,8.526,7.347,6.121
4097.321,8.073,7.431,6.399
4098.265,8.930,7.329,6.613
4099.208,6.076,7.136,6.533
4100.151,7.720,6.963,6.433
4101.097,6.141,6.770,6.305
4102.040,2.455,6.538,5.844
4102.986,6.342,6.356,5.391
4103.930,2.240,6.197,5.392
4104.876,0.310,6.113,5.794
4105.821,2.889,6.027,6.037
4106.768,6.174,6.104,5.945
4107.712,6.948,6.458,5.970
4108.657,3.207,6.906,6.364
4109.605,6.606,7.249,6.593
4110.550,10.363,7.529,6.469
4111.498,7.530,7.641,6.142
4112.444,11.217,7.695,6.350
4113.392,4.711,7.749,6.835
4114.338,6.280,7.634,6.994
4115.285,9.610,7.366,6.850
4116.234,9.869,7.316,6.799
4117.181,8.995,7.324,6.747
4118.130,5.658,7.346,6.210
4119.078,5.833,7.377,5.828
4120.027,4.707,7.342,6.039
4120.975,6.283,7.400,6.371
4121.923,10.698,7.423,6.245
4122.874,5.765,7.358,6.414
4123.822,6.769,7.323,6.723
4124.773,8.957,7.287,6.835
4125.722,7.224,7.080,6.664
4126.673,6.478,7.045,6.518
4127.623,8.117,6.976,6.710
4128.572,7.241,7.026,6.918
4129.524,6.838,7.223,6.639
4130.474,8.963,7.401,5.993
4131.427,8.011,7.425,5.679
4132.377,8.751,7.571,6.193
4133.330,9.807,7.820,6.630
4134.281,8.889,8.028,6.550
4135.232,7.367,8.160,6.514
4136.186,7.571,8.257,6.871
4137.137,9.796,8.370,7.066
4138.091,10.112,8.550,6.747
4139.043,7.504,8.651,6.867
4139.998,12.627,8.695,7.363
4140.950,10.939,8.809,7.249
4141.903,12.702,8.937,6.659
4142.858,11.250,8.838,6.235
4143.811,7.280,8.698,5.969
4144.766,8.334,8.570,5.853
4145.720,8.063,8.374,6.015
4146.676,7.120,8.164,6.288
4147.630,9.012,7.991,6.258
4148.584,6.707,7.812,5.988
4149.541,5.769,7.706,6.232
4150.495,8.878,7.661,6.435
4151.452,6.775,7.619,5.870
4152.407,12.495,7.479,5.707
4153.365,12.418,7.280,5.989
4154.320,7.749,7.173,6.253
4155.276,7.700,6.972,6.723
4156.234,7.012,6.740,7.175
4157.190,5.061,6.690,7.342
4158.149,6.313,6.651,7.198
4159.106,4.843,6.490,7.187
4160.065,6.587,6.435,7.170
4161.022,5.614,6.617,7.082
4161.979,5.414,6.952,6.813
4162.939,9.097,7.295,6.725
4163.896,5.333,7.582,7.252
4164.857,5.717,7.806,8.066
4165.815,8.722,7.986,8.558
4166.775,8.747,8.181,8.908
4167.734,7.569,8.109,8.908
4168.693,8.037,8.089,8.726
4169.654,10.397,8.132,8.393
4170.613,10.141,8.170,7.845
4171.575,8.166,8.315,7.088
4172.535,10.429,8.422,6.890
4173.497,10.814,8.343,7.075
4174.457,7.192,8.189,6.944
4175.417,8.437,8.035,6.567
4176.380,10.757,7.855,6.385
4177.341,9.002,7.613,6.534
4178.304,8.149,7.445,6.761
4179.265,9.226,7.484,6.839
4180.229,5.570,7.493,6.768
4181.191,9.244,7.388,6.592
4182.155,9.923,7.243,6.457
4183.117,8.519,7.132,6.157
4184.079,9.522,7.049,5.879
4185.044,9.727,7.092,5.986
4186.007,7.620,7.102,6.260
4186.972,6.527,7.002,6.277
4187.935,5.234,6.863,5.972
4188.901,3.449,6.773,5.626
4189.865,4.808,6.599,5.598
4190.829,5.375,6.477,6.026
4191.795,9.611,6.446,6.066
4192.759,5.458,6.377,6.050
4193.726,4.443,6.258,6.343
4194.691,7.690,6.228,6.413
4195.658,5.184,6.056,6.264
4196.624,4.731,5.772,6.063
4197.589,5.538,5.618,5.854
4198.557,5.092,5.656,5.441
4199.523,5.329,5.733,4.935
4200.491,4.715,5.676,5.048
4201.457,4.953,5.669,5.617
4202.426,5.065,5.619,5.341
4203.393,5.073,5.674,5.227
4204.360,5.278,5.872,5.531
4205.330,3.601,6.131,5.864
4206.297,4.753,6.384,5.889
4207.267,7.800,6.721,5.963
4208.235,7.653,7.069,6.498
4209.205,5.470,7.273,7.010
4210.174,5.496,7.371,6.912
4211.142,7.255,7.471,6.689
4212.113,8.357,7.593,6.569
4213.082,5.650,7.724,6.133
4214.054,7.531,7.758,5.759
4215.023,7.867,7.710,5.779
4215.995,5.742,7.616,5.845
4216.965,9.037,7.567,5.833
4217.935,10.198,7.678,5.957
4218.908,8.422,7.833,5.811
4219.878,8.797,7.700,5.619
4220.851,9.019,7.587,5.714
4221.822,6.140,7.554,5.933
4222.796,6.263,7.479,5.952
4223.767,10.416,7.362,5.632
4224.739,7.894,7.304,5.239
4225.713,7.730,7.226,5.290
4226.685,6.905,7.186,5.105
4227.660,5.262,7.257,4.790
4228.633,6.968,7.438,4.954
4229.608,9.579,7.644,5.361
4230.581,9.649,7.809,5.433
4231.554,9.683,7.890,5.376
4232.530,10.872,7.950,5.637
4233.504,8.498,7.983,6.044
4234.480,5.569,8.027,6.309
4235.454,7.684,8.152,6.280
4236.431,9.332,8.096,5.994
4237.405,6.416,7.937,5.716
4238.380,6.205,7.740,5.415
4239.357,5.693,7.537,5.236
4240.333,5.543,7.344,5.393
4241.310,6.718,7.251,5.508
4242.286,7.666,7.513,5.435
4243.264,9.240,7.571,5.253
4244.241,11.661,7.594,5.278
4245.217,9.092,7.617,5.739
4246.196,5.975,7.504,6.777
4247.173,7.755,7.284,7.535
4248.152,7.061,7.314,7.536
4249.129,5.820,7.244,6.896
4250.109,3.943,7.149,5.958
4251.087,5.886,7.138,5.497
4252.065,6.776,7.130,5.696
4253.045,7.210,6.968,6.253
4254.024,9.306,6.890,6.455
4255.005,6.759,6.751,6.201
4255.984,7.059,6.716,6.137
4256.965,5.109,6.810,6.496
4257.944,3.536,6.895,6.762
4258.926,7.006,6.898,6.505
4259.906,6.646,7.057,5.821
4260.886,7.367,7.205,5.396
4261.869,7.788,7.355,5.385
4262.849,7.249,7.499,5.368
4263.832,7.646,7.614,5.459
4264.813,7.835,7.711,6.000
4265.796,6.692,7.779,6.570
4266.778,7.554,7.863,6.336
4267.759,9.130,7.964,5.837
4268.743,7.027,8.071,5.916
4269.725,9.160,8.098,6.060
4270.710,6.948,7.994,5.897
4271.692,7.226,8.122,5.379
4272.677,7.633,8.193,5.011
4273.660,9.973,8.199,5.280
4274.644,8.731,8.169,5.608
4275.629,6.230,8.081,5.584
4276.613,8.517,7.980,5.604
4277.599,8.324,8.105,6.363
4278.583,7.730,8.304,6.675
4279.570,9.082,8.548,6.267
4280.554,10.066,8.743,5.935
4281.539,10.788,8.816,5.957
4282.526,8.095,8.835,6.190
4283.511,8.633,8.930,6.422
4284.499,7.614,9.033,6.329
4285.485,6.071,9.019,5.986
4286.473,8.683,8.915,5.662
4287.459,10.399,8.813,5.335
4288.446,9.170,8.756,5.056
4289.434,11.070,8.764,4.887
4290.421,5.562,8.477,4.922
4291.411,9.272,8.285,5.211
4292.398,7.655,8.248,5.718
4293.388,8.800,8.152,5.910
4294.375,12.028,7.979,5.547
4295.363,7.443,8.029,5.267
4296.354,7.570,7.917,5.286
4297.342,9.007,7.895,5.386
4298.333,7.989,7.771,5.311
4299.322,9.080,7.398,5.241
4300.313,8.496,7.134,5.180
4301.303,5.731,6.880,4.825
4302.292,6.023,6.488,4.553
4303.284,5.613,6.069,4.474
4304.274,4.179,5.632,4.276
4305.267,3.267,5.200,4.216
4306.257,3.288,4.929,4.712
4307.250,4.418,4.808,5.017
4308.241,3.729,4.737,4.945
4309.232,3.820,4.962,4.948
4310.226,3.896,5.369,5.074
4311.217,3.334,5.724,4.998
4312.212,5.317,6.062,4.894
4313.204,5.617,6.469,5.455
4314.198,8.684,6.726,6.490
4315.191,6.429,7.034,7.033
4316.183,7.239,7.265,7.191
4317.179,9.747,7.307,7.298
4318.172,8.954,7.404,7.227
4319.168,11.538,7.548,7.119
4320.161,9.474,7.703,7.172
4321.157,7.781,7.929,7.180
4322.152,8.478,8.107,6.783
4323.146,7.409,8.154,6.205
4324.143,8.944,8.236,5.573
4325.137,8.358,8.463,5.047
4326.135,10.173,8.616,5.107
4327.130,10.284,8.611,6.076
4328.128,8.312,8.597,6.379
4329.124,10.759,8.638,6.185
4330.119,9.364,8.574,6.301
4331.118,9.004,8.491,6.322
4332.114,9.319,8.480,5.952
4333.113,8.118,8.332,5.648
4334.110,7.916,8.186,5.727
4335.110,8.522,8.122,6.060
4336.107,6.986,7.860,6.229
4337.107,6.223,7.540,5.807
4338.105,7.607,7.116,5.551
4339.103,7.674,6.795,5.352
4340.103,3.151,6.510,5.465
4341.102,5.283,6.112,5.514
4342.103,7.104,5.683,5.393
4343.101,5.542,5.383,5.415
4344.103,5.624,4.991,5.781
4345.102,5.833,4.792,6.178
4346.102,3.807,4.876,6.404
4347.104,3.507,5.087,6.763
4348.104,5.678,5.275,7.572
4349.107,4.918,5.521,8.179
4350.107,5.404,5.859,8.026
4351.110,6.845,6.159,7.099
4352.111,6.171,6.527,6.164
4353.113,10.122,7.019,5.528
4354.116,6.154,7.418,5.702
4355.118,6.306,7.724,6.195
4356.122,8.596,8.058,6.927
4357.125,8.501,8.401,11.283
4358.129,7.233,8.658,21.233
4359.132,8.972,8.805,32.666
4360.135,10.975,8.905,36.075
4361.140,7.298,8.873,27.568
4362.143,8.976,8.966,16.375
4363.149,7.934,9.068,10.626
4364.153,12.976,9.211,8.285
4365.159,12.942,9.356,7.549
4366.164,12.111,9.300,7.352
4367.168,11.519,9.446,7.412
4368.175,8.081,9.602,7.268
4369.180,11.114,9.650,7.233
4370.187,11.336,9.667,7.288
4371.193,9.439,9.708,7.001
4372.201,12.318,9.720,6.653
4373.207,10.252,9.807,6.602
4374.213,10.254,9.764,6.528
4375.221,11.228,9.690,6.181
4376.228,9.956,9.665,6.408
4377.237,11.158,9.676,6.800
4378.244,7.311,9.701,6.875
4379.254,12.398,9.793,6.792
4380.261,9.826,10.016,6.650
4381.269,9.077,10.120,6.563
4382.279,10.353,10.120,6.423
4383.287,10.225,10.113,6.010
4384.298,10.746,10.004,5.520
4385.307,10.853,9.805,5.269
4386.318,9.773,9.650,5.578
4387.327,8.666,9.650,5.831
4388.336,9.086,9.736,5.914
4389.348,9.113,9.835,5.770
4390.358,12.018,9.976,5.773
4391.370,9.243,10.077,6.083
4392.381,7.711,10.215,6.014
4393.393,11.499,10.353,5.832
4394.404,10.257,10.348,6.011
4395.415,9.362,10.273,6.097
4396.429,11.866,10.412,5.813
4397.440,12.362,10.424,5.683
4398.454,12.396,10.422,5.943
4399.466,11.817,10.412,6.094
4400.480,9.016,10.422,6.297
4401.493,13.605,10.457,6.318
4402.505,13.310,10.461,6.300
4403.520,11.775,10.494,6.607
4404.534,9.199,10.302,6.421
4405.549,11.936,10.189,6.435
4406.563,13.272,10.209,6.715
4407.579,12.710,10.233,6.872
4408.593,11.746,10.266,7.083
4409.607,11.641,10.337,7.421
4410.624,12.394,10.332,7.335
4411.638,10.803,10.226,7.349
4412.656,8.700,10.025,7.706
4413.671,10.744,9.770,7.675
4414.689,8.863,9.551,7.713
4415.704,8.855,9.411,7.660
4416.723,10.015,9.409,7.068
4417.739,10.674,9.493,6.752
4418.755,9.346,9.703,6.836
4419.774,9.926,10.027,7.080
4420.791,10.821,10.279,7.488
4421.810,10.990,10.364,7.766
4422.827,9.465,10.511,7.516
4423.847,9.815,10.497,7.113
4424.865,12.420,10.350,7.042
4425.883,9.447,10.231,7.299
4426.903,9.877,10.103,7.378
4427.922,10.559,9.832,7.220
4428.943,10.249,9.427,7.036
4429.962,10.615,9.214,6.747
4430.983,8.005,9.288,6.310
4432.003,9.465,9.530,6.439
4433.022,10.926,9.795,6.605
4434.044,10.188,10.003,6.523
4435.064,10.468,10.239,6.208
4436.087,12.515,10.372,5.938
4437.108,13.111,10.300,5.911
4438.131,10.968,10.102,6.065
4439.152,9.178,9.990,6.501
4440.173,9.603,9.916,6.808
4441.197,11.168,9.715,6.525
4442.219,11.903,9.621,6.114
4443.243,12.205,9.660,6.131
4444.265,8.592,9.678,6.262
4445.290,10.098,9.639,6.519
4446.313,7.835,9.760,7.030
4447.336,7.903,9.694,7.081
4448.361,9.852,9.527,6.783
4449.384,9.931,9.380,6.693
4450.410,9.659,9.280,6.577
4451.434,10.459,9.258,6.464
4452.461,10.465,9.479,6.456
4453.485,8.932,9.651,6.269
4454.510,10.340,9.733,5.850
4455.537,11.493,9.825,5.544
4456.562,9.622,9.894,5.697
4457.589,8.372,9.753,6.084
4458.615,9.505,9.623,6.119
4459.643,8.922,9.551,5.968
4460.669,9.297,9.594,5.833
4461.695,10.196,9.586,5.527
4462.724,11.433,9.429,5.387
4463.751,10.713,9.317,5.762
4464.780,7.974,9.265,6.147
4465.807,7.771,9.308,6.126
4466.837,9.518,9.488,6.134
4467.864,8.668,9.728,6.400
4468.892,8.996,9.927,6.471
4469.923,12.859,10.050,6.114
4470.951,9.268,10.024,5.477
4471.982,9.764,9.985,5.678
4473.011,8.790,9.957,6.174
4474.042,11.237,10.043,6.122
4475.072,10.241,10.226,5.978
4476.101,11.154,10.274,6.157
4477.133,10.737,10.332,6.377
4478.163,10.744,10.446,6.422
4479.196,10.811,10.372,6.397
4480.226,6.571,10.192,6.115
4481.259,9.196,10.072,5.701
4482.290,9.969,9.920,5.887
4483.322,8.727,9.713,6.296
4484.355,7.970,9.544,6.509
4485.387,9.431,9.256,6.921
4486.421,8.363,8.902,7.060
4487.453,9.298,8.648,6.865
4488.488,7.445,8.526,6.590
4489.521,6.811,8.496,6.182
4490.554,8.029,8.577,6.064
4491.589,7.664,8.661,6.215
4492.622,8.108,8.652,6.270
4493.658,9.425,8.583,6.171
4494.692,8.975,8.609,6.283
4495.729,9.298,8.728,6.289
4496.763,8.022,8.973,6.351
4497.800,7.319,9.214,6.514
4498.834,11.679,9.299,6.806
4499.869,10.395,9.270,7.154
4500.907,8.629,9.370,6.961
4501.943,9.998,9.497,6.752
4502.981,10.567,9.554,6.952
4504.017,8.688,9.655,6.813
4505.055,8.700,9.810,6.686
4506.092,9.511,9.937,6.813
4507.128,10.155,10.005,6.917
4508.168,10.852,10.044,6.875
4509.205,8.970,9.921,6.744
4510.244,7.461,9.768,6.467
4511.282,11.428,9.743,6.238
4512.322,9.326,9.801,6.265
4513.360,8.147,9.744,6.516
4514.399,11.450,9.814,6.430
4515.440,9.162,9.918,6.525
4516.478,8.219,9.967,6.457
4517.520,9.180,9.956,6.348
4518.559,10.299,9.925,6.384
4519.601,9.894,9.890,6.269
4520.641,11.050,9.781,5.980
4521.681,11.258,9.663,6.368
4522.724,9.539,9.540,6.700
4523.764,8.797,9.405,6.711
4524.807,8.745,9.318,6.746
4525.848,9.124,9.381,6.509
4526.892,8.648,9.473,6.233
4527.933,10.472,9.646,6.711
4528.975,10.917,9.790,6.838
4530.019,11.485,9.962,6.145
4531.061,10.896,10.152,6.492
4532.106,11.702,10.139,7.228
4533.149,11.817,10.171,7.213
4534.194,12.125,10.026,6.658
4535.237,10.222,9.760,6.402
4536.280,8.512,9.502,6.619
4537.327,8.919,9.332,6.900
4538.370,9.902,9.291,7.111
4539.417,10.590,9.431,7.305
4540.461,9.741,9.589,7.055
4541.508,8.372,9.732,6.942
4542.553,12.376,9.780,7.041
4543.598,10.413,9.702,7.281
4544.646,9.000,9.607,7.559
4545.691,11.903,9.500,7.496
4546.739,10.293,9.496,7.170
4547.785,11.033,9.509,7.282
4548.834,10.700,9.458,7.408
4549.881,9.775,9.411,7.091
4550.927,9.113,9.510,6.902
4551.977,9.762,9.551,7.014
4553.024,11.279,9.669,6.914
4554.074,11.133,9.815,6.777
4555.121,9.974,9.944,6.722
4556.172,11.026,10.047,6.387
4557.220,11.162,10.118,6.065
4558.268,7.861,10.164,6.536
4559.319,9.459,10.171,6.757
4560.368,10.250,10.118,6.763
4561.420,13.370,10.012,6.874
4562.469,9.554,9.902,6.642
4563.521,11.098,9.842,6.220
4564.571,11.263,9.736,5.845
4565.621,11.356,9.738,5.927
4566.674,10.213,9.682,6.118
4567.725,8.248,9.489,6.068
4568.778,8.670,9.269,6.043
4569.829,8.897,9.176,6.293
4570.883,9.056,9.136,6.477
4571.934,10.421,9.213,6.310
4572.989,8.673,9.245,6.063
4574.041,10.911,9.264,6.307
4575.093,8.767,9.376,6.830
4576.148,8.415,9.497,6.806
4577.201,7.962,9.474,6.460
4578.256,9.825,9.530,6.688
4579.309,9.097,9.545,6.625
4580.365,9.014,9.558,6.277
4581.419,10.142,9.653,6.373
4582.473,8.213,9.706,6.597
4583.530,9.100,9.687,6.523
4584.584,10.292,9.636,6.238
4585.641,9.207,9.679,5.998
4586.696,9.776,9.689,6.059
4587.754,10.291,9.647,6.136
4588.809,8.542,9.836,6.133
4589.865,9.169,9.881,6.323
